date,level,event,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price,z_score,today_dispersion,action,new_stop,note
2022-08-11,6.0,halt_triggered,-2.5563,100000.0,-155631.25,,,,,,,,
2022-08-12,6.0,halt_resumed,-2.5597,100000.0,-155973.55000000002,,,,,,,,
2022-08-15,6.0,halt_triggered,-2.5545,100000.0,-155454.80000000002,,,,,,,,
2022-08-16,6.0,halt_resumed,-2.5356,100000.0,-153561.1,,,,,,,,
2022-08-17,6.0,halt_triggered,-2.5359,100000.0,-153588.14,,,,,,,,
2022-08-18,6.0,halt_resumed,-2.5359,100000.0,-153588.14,,,,,,,,
2022-08-19,6.0,halt_triggered,-2.4447,100000.0,-144470.99,,,,,,,,
2022-08-22,6.0,halt_resumed,-2.4519,100000.0,-145191.97,,,,,,,,
2022-08-23,6.0,halt_triggered,-2.4607,100000.0,-146069.65,,,,,,,,
2022-08-24,6.0,halt_resumed,-2.441,100000.0,-144104.93,,,,,,,,
2022-08-25,1.0,,,,,ANF,overnight_gap_down_13.8pct,16.08,,,,,
2022-08-25,6.0,halt_triggered,-2.4407,100000.0,-144073.78,,,,,,,,
2022-08-26,6.0,halt_resumed,-2.4696,100000.0,-146962.11000000002,,,,,,,,
2022-08-29,6.0,halt_triggered,-2.5021,100000.0,-150214.84,,,,,,,,
2022-08-31,6.0,halt_resumed,-2.4999,100000.0,-149989.39,,,,,,,,
2022-09-01,1.0,,,,,MDB,overnight_gap_down_17.3pct,266.94,,,,,
2022-09-01,6.0,halt_triggered,-2.5698,100000.0,-156984.69,,,,,,,,
2022-09-02,6.0,halt_resumed,-2.5698,100000.0,-156984.69,,,,,,,,
2022-09-06,6.0,halt_triggered,-2.59,100000.0,-159000.62,,,,,,,,
2022-09-07,6.0,halt_resumed,-2.5991,100000.0,-159912.57,,,,,,,,
2022-09-08,6.0,halt_triggered,-2.6454,100000.0,-164542.13,,,,,,,,
2022-10-04,1.0,,,,,BHVN,overnight_gap_down_95.2pct,7.3,,,,,
2022-10-04,,dispersion_cb_triggered_dec128,,,,,,,10.0,0.079098,,,
2022-10-17,1.0,,,,,RBLX,overnight_gap_up_15.9pct,41.2,,,,,
2022-10-19,1.0,,,,,ISRG,overnight_gap_up_12.5pct,217.94,,,,,
2022-10-28,1.0,,,,,EW,overnight_gap_down_15.9pct,72.61,,,,,
2022-11-01,1.0,,,,,CTLT,overnight_gap_down_25.0pct,49.27,,,,,
2022-11-07,,dispersion_cb_triggered_dec128,,,,,,,5.2791,0.05378,,,
2022-11-08,1.0,,,,,LYFT,overnight_gap_down_15.6pct,11.938,,,,,
2022-11-08,6.0,halt_triggered,-3.3216,100000.0,-232159.03000000003,,,,,,,,
2022-11-09,6.0,halt_resumed,-3.2303,100000.0,-223027.68,,,,,,,,
2022-11-10,6.0,halt_triggered,-3.1307,100000.0,-213069.41000000003,,,,,,,,
2022-11-10,,dispersion_cb_triggered_dec128,,,,,,,5.1465,0.072433,,,
2022-11-11,6.0,halt_resumed,-3.1364,100000.0,-213642.45,,,,,,,,
2022-11-14,6.0,halt_triggered,-3.1343,100000.0,-213434.36,,,,,,,,
2022-11-15,6.0,halt_resumed,-3.1444,100000.0,-214441.6,,,,,,,,
2022-11-16,1.0,,,,,AAP,overnight_gap_down_15.7pct,155.0,,,,,
2022-11-16,6.0,halt_triggered,-3.1595,100000.0,-215945.39,,,,,,,,
2022-11-17,6.0,halt_resumed,-3.1785,100000.0,-217850.39,,,,,,,,
2022-11-18,6.0,halt_triggered,-3.1794,100000.0,-217943.64,,,,,,,,
2022-11-21,6.0,halt_resumed,-3.1975,100000.0,-219750.69,,,,,,,,
2022-11-22,6.0,halt_triggered,-3.2016,100000.0,-220159.03000000003,,,,,,,,
2022-11-23,6.0,halt_resumed,-3.2117,100000.0,-221168.12,,,,,,,,
2022-11-25,6.0,halt_triggered,-3.2218,100000.0,-222176.91000000003,,,,,,,,
2022-11-28,6.0,halt_resumed,-3.2402,100000.0,-224017.63,,,,,,,,
2022-11-29,6.0,halt_triggered,-3.2402,100000.0,-224017.63,,,,,,,,
2022-11-30,6.0,halt_resumed,-3.2639,100000.0,-226390.22000000003,,,,,,,,
2022-12-01,6.0,halt_triggered,-3.3007,100000.0,-230072.31,,,,,,,,
2022-12-02,6.0,halt_resumed,-3.2614,100000.0,-226141.92,,,,,,,,
2022-12-05,6.0,halt_triggered,-3.2661,100000.0,-226609.54,,,,,,,,
2022-12-06,6.0,halt_resumed,-3.2288,100000.0,-222883.16000000003,,,,,,,,
2022-12-07,6.0,halt_triggered,-3.2769,100000.0,-227690.87,,,,,,,,
2022-12-08,6.0,halt_resumed,-3.2769,100000.0,-227690.87,,,,,,,,
2022-12-09,6.0,halt_triggered,-3.2769,100000.0,-227690.87,,,,,,,,
2022-12-12,6.0,halt_resumed,-3.2751,100000.0,-227510.28000000003,,,,,,,,
2022-12-13,6.0,halt_triggered,-3.3101,100000.0,-231013.78000000003,,,,,,,,
2022-12-14,6.0,halt_resumed,-3.3026,100000.0,-230261.29,,,,,,,,
2022-12-15,6.0,halt_triggered,-3.3091,100000.0,-230909.74,,,,,,,,
2022-12-16,6.0,halt_resumed,-3.3047,100000.0,-230473.21,,,,,,,,
2022-12-19,6.0,halt_triggered,-3.2958,100000.0,-229580.77,,,,,,,,
2022-12-20,6.0,halt_resumed,-3.3299,100000.0,-232993.56,,,,,,,,
2022-12-21,6.0,halt_triggered,-3.3188,100000.0,-231881.02,,,,,,,,
2022-12-22,6.0,halt_resumed,-3.3413,100000.0,-234134.18,,,,,,,,
2022-12-23,6.0,halt_triggered,-3.3413,100000.0,-234134.18,,,,,,,,
2022-12-27,6.0,halt_resumed,-3.3428,100000.0,-234279.4,,,,,,,,
2022-12-28,6.0,halt_triggered,-3.363,100000.0,-236296.99,,,,,,,,
2022-12-29,6.0,halt_resumed,-3.3097,100000.0,-230971.38,,,,,,,,
2022-12-30,6.0,halt_triggered,-3.2831,100000.0,-228309.14,,,,,,,,
2023-01-03,6.0,halt_resumed,-3.2913,100000.0,-229132.22000000003,,,,,,,,
2023-01-04,6.0,halt_triggered,-3.3528,100000.0,-235275.25,,,,,,,,
2023-01-05,6.0,halt_resumed,-3.358,100000.0,-235800.41000000003,,,,,,,,
2023-01-06,6.0,halt_triggered,-3.3686,100000.0,-236855.93,,,,,,,,
2023-01-09,6.0,halt_resumed,-3.3636,100000.0,-236360.2,,,,,,,,
2023-01-10,1.0,,,,,FRO,overnight_gap_up_24.0pct,14.05,,,,,
2023-01-10,6.0,halt_triggered,-3.4241,100000.0,-242405.08,,,,,,,,
2023-01-10,,dispersion_cb_triggered_dec128,,,,,,,6.3392,0.075029,,,
2023-02-13,1.0,,,,,FSLY,overnight_gap_up_12.5pct,11.1,,,,,
2023-02-22,1.0,,,,,KEYS,overnight_gap_down_12.2pct,160.65,,,,,
2023-02-24,,dispersion_cb_triggered_dec128,,,,,,,3.5718,0.045796,,,
2023-03-01,1.0,,,,,FHN,overnight_gap_down_16.1pct,20.78,,,,,
2023-03-01,1.0,,,,,FIGS,overnight_gap_down_22.0pct,7.18,,,,,
2023-03-14,6.0,halt_triggered,-4.1565,100000.0,-315654.72000000003,,,,,,,,
2023-03-15,6.0,halt_resumed,-4.0964,100000.0,-309641.73,,,,,,,,
2023-03-16,6.0,halt_triggered,-4.1166,100000.0,-311656.11,,,,,,,,
2023-03-17,6.0,halt_resumed,-4.1219,100000.0,-312194.91000000003,,,,,,,,
2023-03-20,6.0,halt_triggered,-4.1132,100000.0,-311318.02,,,,,,,,
2023-03-21,6.0,halt_resumed,-4.1389,100000.0,-313887.13,,,,,,,,
2023-03-22,6.0,halt_triggered,-4.1648,100000.0,-316476.65,,,,,,,,
2023-03-23,6.0,halt_resumed,-4.1967,100000.0,-319671.25,,,,,,,,
2023-03-24,6.0,halt_triggered,-4.2132,100000.0,-321318.38,,,,,,,,
2023-03-27,6.0,halt_resumed,-4.2109,100000.0,-321093.55,,,,,,,,
2023-03-28,6.0,halt_triggered,-4.2158,100000.0,-321575.23,,,,,,,,
2023-03-29,6.0,halt_resumed,-4.2093,100000.0,-320927.39,,,,,,,,
2023-03-30,6.0,halt_triggered,-4.2002,100000.0,-320018.15,,,,,,,,
2023-03-31,6.0,halt_resumed,-4.2079,100000.0,-320788.23,,,,,,,,
2023-04-03,1.0,,,,,TECK,overnight_gap_up_12.6pct,41.11,,,,,
2023-04-03,6.0,halt_triggered,-4.2079,100000.0,-320788.58,,,,,,,,
2023-04-04,6.0,halt_resumed,-4.2172,100000.0,-321722.34,,,,,,,,
2023-04-05,6.0,halt_triggered,-4.1977,100000.0,-319766.73,,,,,,,,
2023-04-06,6.0,halt_resumed,-4.1827,100000.0,-318273.38,,,,,,,,
2023-04-10,6.0,halt_triggered,-4.2151,100000.0,-321505.96,,,,,,,,
2023-04-11,6.0,halt_resumed,-4.2353,100000.0,-323531.59,,,,,,,,
2023-04-12,6.0,halt_triggered,-4.2563,100000.0,-325631.74,,,,,,,,
2023-04-13,6.0,halt_resumed,-4.2507,100000.0,-325070.47000000003,,,,,,,,
2023-04-14,1.0,,,,,CTLT,overnight_gap_down_26.1pct,46.77,,,,,
2023-04-14,6.0,halt_triggered,-4.29,100000.0,-329003.29,,,,,,,,
2023-04-17,1.0,,,,,RBLX,overnight_gap_down_12.4pct,40.04,,,,,
2023-04-17,6.0,halt_resumed,-4.2766,100000.0,-327664.65,,,,,,,,
2023-04-17,,dispersion_cb_triggered_dec128,,,,,,,6.9216,0.054861,,,
2023-04-18,6.0,halt_triggered,-4.2614,100000.0,-326140.43,,,,,,,,
2023-04-19,6.0,halt_resumed,-4.2685,100000.0,-326845.39,,,,,,,,
2023-04-20,6.0,halt_triggered,-4.2955,100000.0,-329550.24,,,,,,,,
2023-04-21,6.0,halt_resumed,-4.3057,100000.0,-330565.43,,,,,,,,
2023-04-24,6.0,halt_triggered,-4.3,100000.0,-330001.03,,,,,,,,
2023-04-25,6.0,halt_resumed,-4.2659,100000.0,-326591.44,,,,,,,,
2023-04-26,6.0,halt_triggered,-4.2762,100000.0,-327622.89,,,,,,,,
2023-04-27,6.0,halt_resumed,-4.2999,100000.0,-329994.98,,,,,,,,
2023-04-28,6.0,halt_triggered,-4.2999,100000.0,-329994.98,,,,,,,,
2023-05-01,6.0,halt_resumed,-4.299,100000.0,-329899.23,,,,,,,,
2023-05-02,6.0,halt_triggered,-4.3023,100000.0,-330232.36,,,,,,,,
2023-05-03,6.0,halt_resumed,-4.2902,100000.0,-329024.73,,,,,,,,
2023-05-04,1.0,,,,,HOUS,overnight_gap_down_15.0pct,5.0,,,,,
2023-05-04,6.0,halt_triggered,-4.3485,100000.0,-334852.39,,,,,,,,
2023-05-05,1.0,,,,,CMA,overnight_gap_up_15.8pct,36.14,,,,,
2023-05-05,6.0,halt_resumed,-4.3304,100000.0,-333038.43,,,,,,,,
2023-05-08,6.0,halt_triggered,-4.3405,100000.0,-334047.2,,,,,,,,
2023-05-09,6.0,halt_resumed,-4.3059,100000.0,-330594.08,,,,,,,,
2023-05-10,6.0,halt_triggered,-4.3261,100000.0,-332614.9,,,,,,,,
2023-05-11,6.0,halt_resumed,-4.3407,100000.0,-334069.96,,,,,,,,
2023-05-12,1.0,,,,,SPNT,overnight_gap_down_14.2pct,8.55,,,,,
2023-05-12,6.0,halt_triggered,-4.3441,100000.0,-334413.78,,,,,,,,
2023-05-15,6.0,halt_resumed,-4.3349,100000.0,-333489.04,,,,,,,,
2023-05-16,6.0,halt_triggered,-4.3092,100000.0,-330924.84,,,,,,,,
2023-05-17,6.0,halt_resumed,-4.3092,100000.0,-330924.84,,,,,,,,
2023-05-18,6.0,halt_triggered,-4.3058,100000.0,-330576.38,,,,,,,,
2023-05-19,6.0,halt_resumed,-4.2884,100000.0,-328840.5,,,,,,,,
2023-05-22,6.0,halt_triggered,-4.3032,100000.0,-330319.86,,,,,,,,
2023-05-23,6.0,halt_resumed,-4.2745,100000.0,-327452.83,,,,,,,,
2023-05-24,6.0,halt_triggered,-4.2998,100000.0,-329981.08,,,,,,,,
2023-05-25,1.0,,,,,DLTR,overnight_gap_down_13.3pct,134.74,,,,,
2023-05-25,6.0,halt_resumed,-4.3803,100000.0,-338034.36,,,,,,,,
2023-05-26,1.0,,,,,PDD,overnight_gap_up_14.2pct,68.52,,,,,
2023-05-26,6.0,halt_triggered,-4.3673,100000.0,-336725.03,,,,,,,,
2023-05-30,6.0,halt_resumed,-4.3867,100000.0,-338671.48,,,,,,,,
2023-05-31,6.0,halt_triggered,-4.427,100000.0,-342700.27,,,,,,,,
2023-06-01,6.0,halt_resumed,-4.4426,100000.0,-344255.49,,,,,,,,
2023-06-02,1.0,,,,,S,overnight_gap_down_36.3pct,13.2,,,,,
2023-06-02,6.0,halt_triggered,-4.4827,100000.0,-348267.06,,,,,,,,
2023-06-05,6.0,halt_resumed,-4.4966,100000.0,-349662.49,,,,,,,,
2023-06-06,6.0,halt_triggered,-4.5377,100000.0,-353770.34,,,,,,,,
2023-06-07,6.0,halt_resumed,-4.5592,100000.0,-355919.73,,,,,,,,
2023-06-08,6.0,halt_triggered,-4.5762,100000.0,-357620.3,,,,,,,,
2023-06-09,6.0,halt_resumed,-4.5802,100000.0,-358016.12,,,,,,,,
2023-06-12,6.0,halt_triggered,-4.5758,100000.0,-357577.31,,,,,,,,
2023-06-13,6.0,halt_resumed,-4.6002,100000.0,-360024.49,,,,,,,,
2023-06-14,6.0,halt_triggered,-4.6103,100000.0,-361027.79,,,,,,,,
2023-06-15,6.0,halt_resumed,-4.6124,100000.0,-361241.11,,,,,,,,
2023-06-16,6.0,halt_triggered,-4.6427,100000.0,-364270.64,,,,,,,,
2023-06-20,6.0,halt_resumed,-4.6529,100000.0,-365285.84,,,,,,,,
2023-06-21,6.0,halt_triggered,-4.6529,100000.0,-365293.82,,,,,,,,
2023-06-22,6.0,halt_resumed,-4.6444,100000.0,-364444.03,,,,,,,,
2023-06-23,6.0,halt_triggered,-4.6635,100000.0,-366350.57,,,,,,,,
2023-06-26,6.0,halt_resumed,-4.6736,100000.0,-367357.79,,,,,,,,
2023-06-27,6.0,halt_triggered,-4.6768,100000.0,-367684.13,,,,,,,,
2023-06-28,6.0,halt_resumed,-4.7032,100000.0,-370318.38,,,,,,,,
2023-06-29,6.0,halt_triggered,-4.7033,100000.0,-370326.38,,,,,,,,
2023-06-30,6.0,halt_resumed,-4.691,100000.0,-369102.74,,,,,,,,
2023-07-03,6.0,halt_triggered,-4.7012,100000.0,-370117.96,,,,,,,,
2023-07-05,6.0,halt_resumed,-4.718,100000.0,-371804.27,,,,,,,,
2023-07-06,6.0,halt_triggered,-4.7376,100000.0,-373755.84,,,,,,,,
2023-07-07,6.0,halt_resumed,-4.7376,100000.0,-373755.84,,,,,,,,
2023-07-10,6.0,halt_triggered,-4.7413,100000.0,-374126.57,,,,,,,,
2023-07-11,6.0,halt_resumed,-4.7514,100000.0,-375135.36,,,,,,,,
2023-07-12,6.0,halt_triggered,-4.7867,100000.0,-378673.75,,,,,,,,
2023-07-13,6.0,halt_resumed,-4.7968,100000.0,-379682.54,,,,,,,,
2023-07-14,6.0,halt_triggered,-4.8213,100000.0,-382133.34,,,,,,,,
2023-07-17,6.0,halt_resumed,-4.8461,100000.0,-384613.22,,,,,,,,
2023-07-17,,dispersion_cb_triggered_dec128,,,,,,,10.0,0.058181,,,
2023-07-18,6.0,halt_triggered,-4.8461,100000.0,-384613.22,,,,,,,,
2023-07-19,6.0,halt_resumed,-4.8617,100000.0,-386165.66,,,,,,,,
2023-07-20,6.0,halt_triggered,-4.882,100000.0,-388196.28,,,,,,,,
2023-07-21,1.0,,,,,DWAC,overnight_gap_up_25.0pct,16.7,,,,,
2023-07-21,6.0,halt_resumed,-4.8198,100000.0,-381981.09,,,,,,,,
2023-07-24,6.0,halt_triggered,-4.7849,100000.0,-378485.35,,,,,,,,
2023-07-25,6.0,halt_resumed,-4.8046,100000.0,-380459.94,,,,,,,,
2023-07-26,1.0,,,,,RES,overnight_gap_down_13.4pct,7.76,,,,,
2023-07-26,6.0,halt_triggered,-4.7486,100000.0,-374857.38,,,,,,,,
2023-07-27,1.0,,,,,BHVN,overnight_gap_down_17.4pct,19.67,,,,,
2023-07-27,6.0,halt_resumed,-4.69,100000.0,-369001.4,,,,,,,,
2023-07-28,6.0,halt_triggered,-4.6838,100000.0,-368378.7,,,,,,,,
2023-07-31,6.0,halt_resumed,-4.7033,100000.0,-370334.3,,,,,,,,
2023-08-01,6.0,halt_triggered,-4.663,100000.0,-366303.08,,,,,,,,
2023-08-02,1.0,,,,,YOU,overnight_gap_up_19.6pct,27.19,,,,,
2023-08-02,6.0,halt_resumed,-4.6457,100000.0,-364574.62,,,,,,,,
2023-08-03,6.0,halt_triggered,-4.666,100000.0,-366596.16,,,,,,,,
2023-08-04,1.0,,,,,FLR,overnight_gap_up_18.3pct,36.78,,,,,
2023-08-04,6.0,halt_resumed,-4.6922,100000.0,-369216.34,,,,,,,,
2023-08-07,6.0,halt_triggered,-4.713,100000.0,-371299.7,,,,,,,,
2023-08-08,6.0,halt_resumed,-4.6878,100000.0,-368778.37,,,,,,,,
2023-08-09,1.0,,,,,RBLX,overnight_gap_down_14.0pct,32.44,,,,,
2023-08-09,6.0,halt_triggered,-4.6312,100000.0,-363116.65,,,,,,,,
2023-08-10,6.0,halt_resumed,-4.6433,100000.0,-364328.41,,,,,,,,
2023-08-11,6.0,halt_triggered,-4.6496,100000.0,-364959.11,,,,,,,,
2023-08-14,6.0,halt_resumed,-4.6598,100000.0,-365977.6,,,,,,,,
2023-08-15,6.0,halt_triggered,-4.6901,100000.0,-369008.82,,,,,,,,
2023-08-16,6.0,halt_resumed,-4.6542,100000.0,-365423.45,,,,,,,,
2023-08-17,6.0,halt_triggered,-4.6929,100000.0,-369285.25,,,,,,,,
2023-08-18,1.0,,,,,KEYS,overnight_gap_down_14.4pct,128.5,,,,,
2023-08-18,6.0,halt_resumed,-4.5377,100000.0,-353766.94,,,,,,,,
2023-08-21,6.0,halt_triggered,-4.5734,100000.0,-357340.42,,,,,,,,
2023-08-22,6.0,halt_resumed,-4.5611,100000.0,-356110.15,,,,,,,,
2023-08-23,6.0,halt_triggered,-4.5782,100000.0,-357823.66000000003,,,,,,,,
2023-08-24,6.0,halt_resumed,-4.5978,100000.0,-359777.33,,,,,,,,
2023-08-25,6.0,halt_triggered,-4.5915,100000.0,-359154.15,,,,,,,,
2023-08-28,6.0,halt_resumed,-4.5913,100000.0,-359132.67,,,,,,,,
2023-08-29,6.0,halt_triggered,-4.6,100000.0,-359999.97000000003,,,,,,,,
2023-08-30,6.0,halt_resumed,-4.5922,100000.0,-359216.56,,,,,,,,
2023-08-31,6.0,halt_triggered,-4.5877,100000.0,-358773.66000000003,,,,,,,,
2023-09-01,6.0,halt_resumed,-4.5809,100000.0,-358085.14,,,,,,,,
2023-09-05,6.0,halt_triggered,-4.5557,100000.0,-355567.09,,,,,,,,
2023-09-06,6.0,halt_resumed,-4.5705,100000.0,-357052.19,,,,,,,,
2023-09-07,6.0,halt_triggered,-4.5975,100000.0,-359752.18,,,,,,,,
2023-09-08,6.0,halt_resumed,-4.6177,100000.0,-361768.19,,,,,,,,
2023-09-11,6.0,halt_triggered,-4.5929,100000.0,-359287.08,,,,,,,,
2023-09-12,6.0,halt_resumed,-4.5962,100000.0,-359619.06,,,,,,,,
2023-09-13,6.0,halt_triggered,-4.5962,100000.0,-359619.06,,,,,,,,
2023-09-14,6.0,halt_resumed,-4.6074,100000.0,-360744.17,,,,,,,,
2023-09-15,6.0,halt_triggered,-4.5796,100000.0,-357963.45,,,,,,,,
2023-09-18,6.0,halt_resumed,-4.5869,100000.0,-358689.15,,,,,,,,
2023-09-19,6.0,halt_triggered,-4.569,100000.0,-356902.22000000003,,,,,,,,
2023-09-20,6.0,halt_resumed,-4.569,100000.0,-356902.22000000003,,,,,,,,
2023-09-21,6.0,halt_triggered,-4.5752,100000.0,-357520.9,,,,,,,,
2023-09-21,,dispersion_cb_triggered_dec128,,,,,,,4.5689,0.033549,,,
2023-09-22,6.0,halt_resumed,-4.5262,100000.0,-352623.94,,,,,,,,
2023-09-25,6.0,halt_triggered,-4.5618,100000.0,-356183.64,,,,,,,,
2023-09-26,6.0,halt_resumed,-4.5417,100000.0,-354166.71,,,,,,,,
2023-09-27,1.0,,,,,BHVN,overnight_gap_up_17.8pct,20.8,,,,,
2023-09-27,6.0,halt_triggered,-4.5412,100000.0,-354122.76,,,,,,,,
2023-09-28,6.0,halt_resumed,-4.55,100000.0,-355002.81,,,,,,,,
2023-09-29,6.0,halt_triggered,-4.5286,100000.0,-352855.03,,,,,,,,
2023-10-02,6.0,halt_resumed,-4.5278,100000.0,-352776.04,,,,,,,,
2023-10-03,6.0,halt_triggered,-4.514,100000.0,-351404.38,,,,,,,,
2023-10-04,6.0,halt_resumed,-4.5126,100000.0,-351259.09,,,,,,,,
2023-10-05,6.0,halt_triggered,-4.4856,100000.0,-348563.42,,,,,,,,
2023-10-06,6.0,halt_resumed,-4.4742,100000.0,-347416.6,,,,,,,,
2023-10-09,6.0,halt_triggered,-4.504,100000.0,-350404.15,,,,,,,,
2023-10-10,6.0,halt_resumed,-4.4459,100000.0,-344588.26,,,,,,,,
2023-10-11,6.0,halt_triggered,-4.4558,100000.0,-345577.03,,,,,,,,
2023-10-12,6.0,halt_resumed,-4.4852,100000.0,-348521.91000000003,,,,,,,,
2023-10-13,6.0,halt_triggered,-4.4953,100000.0,-349529.11,,,,,,,,
2023-10-16,6.0,halt_resumed,-4.4962,100000.0,-349617.99,,,,,,,,
2023-10-17,6.0,halt_triggered,-4.5207,100000.0,-352068.26,,,,,,,,
2023-10-18,6.0,halt_resumed,-4.5308,100000.0,-353075.48,,,,,,,,
2023-10-19,6.0,halt_triggered,-4.4589,100000.0,-345892.41000000003,,,,,,,,
2023-10-20,6.0,halt_resumed,-4.4719,100000.0,-347187.52,,,,,,,,
2023-10-23,6.0,halt_triggered,-4.481,100000.0,-348095.9,,,,,,,,
2023-10-24,1.0,,,,,TRU,overnight_gap_down_14.4pct,55.54,,,,,
2023-10-24,6.0,halt_resumed,-4.523,100000.0,-352299.95,,,,,,,,
2023-10-24,,dispersion_cb_triggered_dec128,,,,,,,3.4064,0.035921,,,
2023-10-25,6.0,halt_triggered,-4.5909,100000.0,-359092.97000000003,,,,,,,,
2023-10-26,6.0,halt_resumed,-4.6049,100000.0,-360489.79,,,,,,,,
2023-10-26,,dispersion_cb_triggered_dec128,,,,,,,3.0642,0.036657,,,
2023-10-27,6.0,halt_triggered,-4.6506,100000.0,-365059.75,,,,,,,,
2023-10-30,6.0,halt_resumed,-4.6084,100000.0,-360839.57,,,,,,,,
2023-10-31,6.0,halt_triggered,-4.5808,100000.0,-358081.04,,,,,,,,
2023-11-01,1.0,,,,,BRY,overnight_gap_down_14.6pct,7.13,,,,,
2023-11-01,6.0,halt_resumed,-4.6176,100000.0,-361756.01,,,,,,,,
2023-11-02,6.0,halt_triggered,-4.6642,100000.0,-366423.78,,,,,,,,
2023-11-03,1.0,,,,,FIGS,overnight_gap_up_20.1pct,6.75,,,,,
