ticket,cls,verdict,hits,missing,bad_paths,desc
S6-B1527a,DONE,NO_CLAIM,,,, HIGH | Monitor re-arm is a LAUNCH-TURN GATE (plan SS9 item 13). Verify at next launch that the cron's state-f
S6-B1528a,DONE,NO_CLAIM,,,," LOW | If P1 results later look anomalous, run a per-BAR set diff across swinglength 20/24/26 - count equality"
S6-B1529a,RUNNING,NO_CLAIM,,,, RUNNING | 50-ticker + 5-ticker-repeat measurement in flight. |
S6-B1529b,DONE,NO_CLAIM,,,, CLOSED | R5 wall-clock NOT recoverable from artifacts (L403). |
S6-B1531a,BLOCKED,SYMBOL_PRESENT,--cube-isolation,,, reason: REASON-NOT-RECORDED (pre-B1769) BLOCKER | Verify --cube-isolation genuinely isolates strategies. The 
S6-B1531b,DONE,SYMBOL_PRESENT,tighten_breaker_block.py,roster_core,," HIGH | Build the harvester: extract per-strategy metrics for ALL strategies from each config's cube, not one."
S6-B1531c,DONE,NO_CLAIM,,,," HIGH | Map producer axes per strategy FAMILY (SMC 18, EMA consumers, RSI, MACD, ...) so one orthogonal sweep "
S6-B1532a,DONE,NO_CLAIM,,,," HIGH | Re-open the universe ladder as a COST question, not a comparability one. Entry-rate convergence (5 -> "
S6-B1532b,DONE,NO_CLAIM,,,, HIGH | Recompute the slope at run completion - the 28.25 s/day is 2pct-of-run and warmup-inflated. |
S6-B1532c,DONE,NO_CLAIM,,,," APPROVED - TOP | Profile the engine (62pct serial), fix, and test extensively. BLOCKED: import pandas hangs, "
S6-B1533a,OPEN,SYMBOL_PRESENT,--screen-pool-workers,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1533b,OPEN,SYMBOL_MISSING,,output_pool_test,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1534a,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1534b,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1534c,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1534d,BLOCKED,NO_CLAIM,,,, reason: REASON-NOT-RECORDED (pre-B1769) BLOCKER | Commit pending B1533-B1535 docs (L407-L411) once the toolch
S6-B1534e,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1535a,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1535b,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1536a,BLOCKED,NO_CLAIM,,,, reason: REASON-NOT-RECORDED (pre-B1769) BLOCKER | Record the 6h budget as a first-class CONSTRAINT in STRATEG
S6-B1536b,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1537a,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1537b,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1539a,CLOSED,NO_CLAIM,,,, HIGH | Re-run the profiler DETACHED to completion; it needs ~10+ min and dies on the foreground ceiling. |
S6-B1539b,CLOSED,SYMBOL_PRESENT,screen_done,,, HIGH | Target confirmed: inside screendone. Test the Batch 371 hypothesis - per-ticker signal computation tha
S6-B1539c,CLOSED,NO_CLAIM,,,," MED | Instrument the 25.4pct outside every PHASETIMING bracket (pool spin-up/teardown, checkpoint writes, log"
S6-B1541a,DONE,SYMBOL_PRESENT,USE_SMC_PANEL_CACHE,,," TOP | Resolve the USESMCPANELCACHE divergence (bool 10.6pct / float 50pct, Batch 555). It gates a 27.2pct cos"
S6-B1541b,DONE,SYMBOL_PRESENT,smart_money_score,,," HIGH | smartmoneyscore: 3,124 calls for 672 screeninstrument calls = ~4.6 calls per ticker-day. Check for rep"
S6-B1541c,DONE,NO_CLAIM,,,, MED | 25.4pct of wall-clock remains outside every PHASETIMING bracket (L413). |
S6-B1543a,CLOSED,NO_CLAIM,,,, HIGH | Measure the actual speedup from OPTIMIZATIONMODE before costing the sweep - 14.3pct is the profiler's 
S6-B1543b,CLOSED,NO_CLAIM,,,," HIGH | Test whether the 200 cap EVER bound in R5. If it did, appended disjoint runs are not equivalent to a 3"
S6-B1544a,CLOSED,SYMBOL_PRESENT,--cube-isolation,,, HIGH | OWNER DECISION: should --cube-isolation ALSO bypass tier sizing (LOW->skip)? Today a strategy's cube c
S6-B1544b,CLOSED,NO_CLAIM,,,," HIGH | Make monitor-arming mechanical: same tool invocation as the launch, not a preceding step (L420). |"
S6-B1545a,DROPPED,NO_CLAIM,,,, reason: REASON-NOT-RECORDED (pre-B1769) RETRACTED | Not needed - gates are absolute (L423). |
S6-B1545b,CLOSED,NO_CLAIM,,,, MED | Quantify how many R5 trades were suppressed by LOW/AVOID tiers - it sizes the gap between the old and n
S6-B1547a,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1548a,OPEN,SYMBOL_MISSING,,test_b1463,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1552a,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1552b,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1555a,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1555b,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1555c,OPEN,NO_CLAIM,,,," reason: no commit exists under this batch number, so the DONE claim has nothing to verify against - trace or "
S6-B1559a,CLOSED,NO_CLAIM,,,," HIGH | On concurrency-test completion: report per-config elapsed vs the 2,759 s baseline, confirm no MemoryEr"
S6-B1559b,CLOSED,NO_CLAIM,,,," MED | Attribution run: isolate whether the Sharpe 0.473 -> 0.860 gain came from the tier bypass, the universe"
S6-B1560a,CLOSED,NO_CLAIM,,,," HIGH | Push at END of every turn, not just commit. git log origin/main..HEAD must be empty (L434). Consider e"
S6-B1561a,CLOSED,SYMBOL_PRESENT,STAGE2_NO_LIVE_FETCH;get_ohlcv_bulk,,, DONE | Fixed getohlcvbulk defect B (date-column normalisation) + STAGE2NOLIVEFETCH guard (default ON) + probe
S6-B1561b,CLOSED,SYMBOL_MISSING,,DATA_LOAD_START = 2021-05-06;DATA_LOAD_START=2021-05-05,, DONE (B1562) | Defect A unresolved: DATALOADSTART=2021-05-05 vs cached start 2021-05-06 — cache still misses 
S6-B1561c,DEFERRED,SYMBOL_PRESENT,date;get_ohlcv_bulk,recompute_cube_from_trade_log.py:87,, reason: REASON-NOT-RECORDED (pre-B1769) PARTIAL | Sibling audit: the only 2 getohlcvbulk consumers (metrics.p
S6-B1561d,CLOSED,SYMBOL_PRESENT,precompute_cache_info,"USE_PRECOMPUTED_SIGNALS = True;{'dir_exists': False, 'ticker_count': 0}",," DONE (B1563a) | USEPRECOMPUTEDSIGNALS = True but precomputecacheinfo() → {'direxists': False, 'tickercount': "
S6-B1561d2,CLOSED,NO_CLAIM,,,," MED | Verify the 11 S6-B1561c candidates individually: pipeline.py, secedgarextractor.py, shortinterest.py, a"
S6-B1562a,CLOSED,SYMBOL_PRESENT,DATA_LOAD_START,cached_start <= start,, DONE | A2 shipped (DATALOADSTART 2021-05-05 -> 2021-05-06) PLUS end-anchored coverage (dropped the unsatisfia
S6-B1562b,CLOSED,SYMBOL_PRESENT,fetched_through,,," HIGH | 260 of 2,122 tickers still miss — DELISTED names (ABMD/ADS/AERI/ACCD) whose last bar precedes the wind"
S6-B1563a,CLOSED,SYMBOL_PRESENT,USE_PRECOMPUTED_SIGNALS,,, DONE | USEPRECOMPUTEDSIGNALS True->False (flag was ON with an empty cache; misses swallowed by a bare except)
S6-B1563b,CLOSED,SYMBOL_PRESENT,USE_SMC_PANEL_CACHE;compute_all_signals,,, MED | Populate the precomputed-signals cache ONLY after a per-key PIT-divergence audit (sibling USESMCPANELCA
S6-B1563c,OPEN,SYMBOL_PRESENT,test_b1563_dynamic_signal_keys_block_static_pruning,,, reason: REASON-NOT-RECORDED (pre-B1769) HIGH | NOT STARTED this turn (context). Safe demand-driven pruning: r
S6-B1564a,CLOSED,SYMBOL_PRESENT,fetched_through,,, DONE | fetchedthrough added to the 3 post-fetch index writes + coverage check + backfill script (modal-end in
S6-B1564b,CLOSED,SYMBOL_PRESENT,_fetch_from_yfinance,,," DONE | L438 RETRACTION: L435's ""every backtest re-downloaded from yfinance / non-PIT data"" is FALSE. fetchfro"
S6-B1565a,CLOSED,SYMBOL_PRESENT,GuardedSignals;RecordingSignals,backtest/signals/demand_pruning.py,," DONE | backtest/signals/demandpruning.py: producer->key map built by CALLING producers (not parsing), Recordi"
S6-B1565b,CLOSED,NO_CLAIM,,,," DONE | Both parts shipped: (a) 33 producer guards B1566a, (b) warmup/prune wiring B1567a. |"
S6-B1565c,CLOSED,SYMBOL_PRESENT,USE_SMC_PANEL_CACHE;compute_smc_signals,demand_pruning,, MED | Same treatment for computesmcsignals (27.2pct of runtime) — prune to needed primitive families (ob/fvg/
S6-B1565d,CLOSED,NO_CLAIM,,,," DONE | OBSERVED 14.64pct (1920s -> 1639s, 1.171x) with BIT-IDENTICAL cubes (sha 615233dbab2756d0, 1352x37, 0 "
S6-B1566a,CLOSED,SYMBOL_PRESENT,_producer_skipped;compute_all_signals,,, DONE | All 33 producers in computeallsignals now guarded via producerskipped() (was 3). Full + legacy short n
S6-B1567a,CLOSED,SYMBOL_PRESENT,STRATEGY_SUBSET_FILE;screen_instrument;wrap,DEMAND_PRUNING=0,, DONE | Warmup->prune state machine wired into screeninstrument (3 sites). OFF without STRATEGYSUBSETFILE — wr
S6-B1568a,RUNNING,SYMBOL_PRESENT,DEMAND_PRUNING,scripts/ab_demand_pruning.sh,," RUNNING | Observed wall-clock A/B for demand pruning (scripts/abdemandpruning.sh). Identical config twice, SE"
S6-B1568b,CLOSED,NO_CLAIM,,,," MED | Scope limit: 14.64pct measured on 1 strategy x 5 tickers x 2y, one A/B pair, sequential. Confirm it hol"
S6-B1569a,CLOSED,SYMBOL_MISSING,,skip_primitives,, DONE | SMC primitive pruning: skipprimitives guards on retracements/fvg/boschoch (92.9pct of SMC cost). 279.4
S6-B1569b,CLOSED,NO_CLAIM,,,," DONE | OBSERVED 47.94pct (703s -> 366s, 1.921x) with SMC pruning wired. All three cubes bit-identical (615233"
S6-B1570a,CLOSED,SYMBOL_PRESENT,bos_choch;smc_ote_long,,," DONE | Static-key FLOOR unioned with runtime recording, closing the short-circuit hole (smcotelong lost bosch"
S6-B1570b,CLOSED,NO_CLAIM,,,," HIGH | Cross-session elapsed is NOT comparable on this machine — identical OFF arm 1920s (B1568, cold) vs 703"
S6-B1570c,CLOSED,SYMBOL_PRESENT,STRATEGY_SUBSET_FILE;config.py,,," DONE | Runbook §11 comprehensive rewrite, code-verified: 4 new REFERENCE sections (ENGINE CONTROLS / WHAT GET"
S6-B1571a,CLOSED,NO_CLAIM,,,, OWNER | 20-config sweep readiness. All optimisations shipped + validated. Per-config cost at 100-ticker scale
S6-B1571b,CLOSED,SYMBOL_PRESENT,scripts/build_sweep_100.py,,, DONE | 100-ticker search universe REBUILT on owner-chosen criterion (top 100 by ADV over the 2021-05-06..2022
S6-B1571c,CLOSED,NO_CLAIM,,,," MED | Disclosed universe biases (documented, not fixed): (1) SPY is rank-1 by ADV and is an index ETF, not a "
S6-B1571d,RUNNING,SYMBOL_MISSING,,scripts/run_b1571_configs.sh,, RUNNING | Configs 1+2 concurrent at 100-ticker scale (scripts/runb1571configs.sh). cfg1 sw=20/span=200 (produ
S6-B1572a,CLOSED,SYMBOL_PRESENT,output_r5_merged_1_7;r5_universe_381.txt,output_r5_rung4_chunk1,, DONE | CATASTROPHIC-CLASS DEFECT FOUND + FIXED. r5universe381.txt came from an abandoned alphabetical chunk (
S6-B1572b,CLOSED,SYMBOL_MISSING,,scripts/verify_universe_artifact.py,, DONE | Mechanical guard scripts/verifyuniverseartifact.py (alphabetical skew / mega-cap absence / letter cove
S6-B1572c,DROPPED,SYMBOL_PRESENT,output_r5_merged_1_7,PHASE_1B_ROSTER.md:5,, reason: REASON-NOT-RECORDED (pre-B1769) N/A | Phase 1B roster NOT contaminated — PHASE1BROSTER.md:5 cites out
S6-B1572d,CLOSED,NO_CLAIM,,,, HIGH | Configs 1+2 TERMINATED mid-run (owner directive) — they were searching the A-C slice. Timing data part
S6-B1572e,CLOSED,SYMBOL_PRESENT,verify_universe_artifact.py,,," MED | Runbook L378 rule text must be corrected: ""derive from the BASELINE ARTIFACT"" -> ""derive from the MERGE"
S6-B1573a,CLOSED,NO_CLAIM,,,, DONE | Miss-capture audit (owner-prompted). 11 L-entries covered big findings; 12 smaller misses were acknowl
S6-B1573b,CLOSED,SYMBOL_PRESENT,check_unrecorded_miss;scan_unrecorded_miss,verify_turn_compliance.py:385,, DONE | CHECKLIST #194 + scanunrecordedmiss()/checkunrecordedmiss() WIRED into verifyturncompliance.py:385 (be
S6-B1573c,OPEN,SYMBOL_PRESENT,archive/;output_r5_merged_1_7,_cube_merged;_cubemode_val;_merged_1_3;_rung1,, reason: needs owner confirmation of (a) which r5 dir is final and (b) whether archive = move to a OWNER | ARC
S6-B1574a,CLOSED,NO_CLAIM,,,," DONE | The B1573 miss-gate blocked the turn that built it - it checked working-tree modification only, so wri"
S6-B1575a,CLOSED,SYMBOL_PRESENT,output_r5_merged_1_7,,, DONE | Archived 16 superseded output dirs to archive/2026-08-14-strategy-optimisation-session/ (owner-approve
S6-B1575b,CLOSED,SYMBOL_PRESENT,None;output_r5_merged_1_7;producer_variant_table.py;tighten_breaker_block.py,,, DONE | Reference check before the move found 3 LIVE scripts hard-coded to the defective A-C chunk - tightenbr
S6-B1575c,CLOSED,NO_CLAIM,,,, DONE | Runbook STEP 1.1 ticker list regenerated from the 544 universe (top-5 now SPY TSLA AAPL AMZN NVDA) + v
S6-B1576a,DONE,NO_CLAIM,,,, DONE | First per-config cost at 100-ticker scale on the CORRECTED universe. cfg1 (sw=20/span=200) ELAPSED=118
S6-B1576b,DONE,NO_CLAIM,,,," RESOLVED | Configs DID vary - proven empirically. cfg1 330 entries vs cfg2 420 entries, overlap only 103; cfg"
S6-B1577a,CLOSED,SYMBOL_PRESENT,.stop_exempt;scan_unmonitored_launch;scan_unrecorded_miss,,," DONE | Second defect in the miss gate in two turns. scanunrecordedmiss() scanned the WHOLE transcript, so ack"
S6-B1578a,DONE,SYMBOL_MISSING,,screen_done dur=23.290s,, DONE | False stall alarm on B1576. Claimed the configs appeared stalled from ~4 sim-days apparent progress; C
S6-B1578b,DONE,NO_CLAIM,,,," MED | Real per-day cost at 100 tickers on the corrected universe is ~23.2 s/sim-day => ~3.2 h per config, abo"
S6-B1579a,CLOSED,NO_CLAIM,,,," DONE | Permission-prompt root cause: my own cd prefix. Every command was cd ""c:/..."" && ... despite the Bash "
S6-B1580a,DONE,SYMBOL_MISSING,,"""pruned_key"" in s;GuardedSignals.__contains__",," DONE | GuardedSignals.contains now guarded - ""prunedkey"" in s RAISES instead of returning False silently. Rec"
S6-B1580b,OPEN,SYMBOL_PRESENT,as_of;screen_instrument,,," reason: claims code, but the batch commit touched no code file. The work may have landed in another batch - t"
S6-B1580c,DONE,SYMBOL_PRESENT,config;ema_span;swing_length;trade_exit_detail.csv,run_manifest.json,, MED | Cube cannot be attributed to its config. No swinglength / emaspan / config column exists in tradeexitde
S6-B1580d,DONE,SYMBOL_PRESENT,_finalise,,," NOTE | Degrade-safe path VERIFIED (EXECUTED): if the producer key map cannot be built, finalise() yields 0 sk"
S6-B1580e,DONE,SYMBOL_MISSING,,demand_pruning;roster_core;tighten_breaker_block,, HIGH | ADVERSARIAL REVIEW IS PARTIAL — not a clean bill of health. Covered: demandpruning guard/recorder/stat
S6-B1581a,CLOSED,SYMBOL_PRESENT,_check,dict.__contains__,," DONE | The 1580a fix caused INFINITE RECURSION (check used key not in self, dispatching to the new override)."
S6-B1582a,DONE,SYMBOL_PRESENT,NO_EXIT_SELECTABLE;breakeven_plus_trail;r_multiple_2r,,," DONE | 400 combinations graded (200 per config). cfg1: 31 gradable, 0 PASS, best Sharpe 0.851 (n=83, PF 3.201"
S6-B1582b,DONE,SYMBOL_PRESENT,tighten_breaker_block.py,,, HIGH | DISCREPANCY - cfg2 grid loses 40pct of its entries. cfg2's cube holds 420 entries but the grid's LOOSE
S6-B1582c,DONE,NO_CLAIM,,,, HIGH | OUTLIER - ranking by Sharpe picks the WORSE combination. cfg2's best has the HIGHER Sharpe (0.918 vs 0
S6-B1582d,DONE,SYMBOL_PRESENT,ci_lo,roster_core,," NOTE | cilo is the BOOTSTRAP lower bound from rostercore's sharpe dict, NOT the analytic Lo(2002) interval. F"
S6-B1582e,DONE,NO_CLAIM,,,," REVISED | Scope corrected (owner, twice). The adversarial review is find bugs and logic errors across the con"
S6-B1583a,CLOSED,NO_CLAIM,,,, DONE | Third defect in the miss gate. It checked working-tree + git log -1; L452 was committed in B1581 and t
S6-B1584a,DONE,SYMBOL_PRESENT,SMC_SWING_LENGTH;STRAT_EMA_SPAN;diagnose_fire,"diagnose_fire(df, when, swing_length=20, ...;tighten_breaker_block.py:150",," CRITICAL | ROOT CAUSE of cfg2's 40pct loss: the grading harness is NOT config-aware. diagnosefire(df, when, s"
S6-B1584b,DONE,SYMBOL_MISSING,,tighten_breaker_block.py:145-153,, HIGH | Two silent-swallow drops in the grader (tightenbreakerblock.py:145-153): if df is None: continue drops
S6-B1584c,OPEN,SYMBOL_PRESENT,NO_EXIT_SELECTABLE,roster_core.MIN_N=30,, reason: needs owner ruling on the search-phase value. HIGH | MINN=30 is the wrong floor for the SEARCH phase 
S6-B1584d,DONE,SYMBOL_PRESENT,ci_lo,,, HIGH | MISS - margin of error was not applied to the verdict. Owner directed earlier that gates be judged aga
S6-B1585a,CLOSED,SYMBOL_PRESENT,--swing-length;diagnose_fire,,, DONE | Grader is now CONFIG-AWARE: --swing-length threads into diagnosefire. PROVEN - cfg2 at sw=20 diagnoses
S6-B1585b,CLOSED,SYMBOL_PRESENT,--max-diag-loss,,, DONE | Grader now ABORTS when diagnosis loss exceeds --max-diag-loss (default 2pct) instead of silently gradi
S6-B1585c,CLOSED,SYMBOL_PRESENT,--min-n;MIN_N;None;min_n,roster_core.MIN_N;roster_core.select_exit,, DONE | Owner ruling: Step-1 MINN = 10. Implemented as --min-n on the SEARCH grader and an optional minn on ro
S6-B1585d,CLOSED,NO_CLAIM,,,, HIGH | RESIDUAL 4pct (17 of 420) still fail re-diagnosis at the CORRECT swing length. Probable cause if i < 2
S6-B1585e,CLOSED,SYMBOL_PRESENT,--swing-length,,, HIGH | cfg1 AND cfg2 grids must be REGENERATED with --swing-length and --min-n 10. Every number in S6-B1582a 
S6-B1586a,CLOSED,SYMBOL_MISSING,,close_mitigation=False,, DONE | 4pct residual EXPLAINED - not a defect. The 17 fires diagnose under closemitigation=False (the branch 
S6-B1586b,CLOSED,SYMBOL_PRESENT,ma_exit_ema9,,," DONE | RETRACTION - both cubes regraded, conclusion REVERSED. cfg1 (sw=20,minn=10): 97 gradable, 0 PASS. cfg2"
S6-B1586c,CLOSED,SYMBOL_PRESENT,None,min_trades_holdout >= 25;n_holdout,," MED | nholdout returns None in the grid rows, so holdout sample size is not reportable per combination - it i"
S6-B1586d,CLOSED,NO_CLAIM,,,," HIGH | The 5 PASS rows are MARGINAL: cilo = +0.082. Per the owner's margin-of-error directive, 5 of 200 at a "
