ticket,batch,cls,born_done,in_window,sha,n_files,n_code,claims_code,claims_analysis,has_test,verdict,desc
S6-B1518b,1518,DONE,True,False,89f185cea,4,0,False,False,False,ANALYSIS_ONLY," high | pin test: set smcswinglength to a non-default, run the engine on 1 ticker, assert the fire set changes. without "
S6-B1518c,1518,DONE,True,False,89f185cea,4,0,False,False,False,ANALYSIS_ONLY," med | audit every other spec parameter the same way before its grid is costed - does it reach the engine, or only the p"
S6-B1520b,1520,DROPPED,True,False,,0,0,False,True,False,NO_COMMIT, reason: reason-not-recorded (pre-b1769) superseded | per-strategy sweep replaced by the harvest-all design. |
S6-B1522a,1522,DONE,True,False,91f046dc6,4,0,False,False,False,ANALYSIS_ONLY," high | add to plan ss9 as item 21: before any differential test, assert the subject occurs in the window - a differenti"
S6-B1525a,1525,DONE,True,False,06454c980,4,1,False,False,False,CODE_BACKED," closed | p1 = 4 live values. factorial 4,000, 20 engine runs, unchanged. |"
S6-B1526a,1526,DONE,True,False,6de2592ff,4,0,False,False,False,ANALYSIS_ONLY, closed | cliff sharp; band not extended; sweep stays 20 engine runs. |
S6-B1527a,1527,DONE,True,False,9872a3889,1,0,False,False,False,ANALYSIS_ONLY, high | monitor re-arm is a launch-turn gate (plan ss9 item 13). verify at next launch that the cron's state-file path m
S6-B1528a,1528,DONE,True,False,4d0d161ac,4,0,False,False,False,ANALYSIS_ONLY," low | if p1 results later look anomalous, run a per-bar set diff across swinglength 20/24/26 - count equality does not "
S6-B1529b,1529,DONE,True,False,fc7d171a5,3,0,False,False,False,ANALYSIS_ONLY, closed | r5 wall-clock not recoverable from artifacts (l403). |
S6-B1531b,1531,DONE,True,False,a17a050e1,3,0,False,False,False,ANALYSIS_ONLY," high | build the harvester: extract per-strategy metrics for all strategies from each config's cube, not one. reuses ro"
S6-B1531c,1531,DONE,True,False,a17a050e1,3,0,False,False,False,ANALYSIS_ONLY," high | map producer axes per strategy family (smc 18, ema consumers, rsi, macd, ...) so one orthogonal sweep serves eve"
S6-B1532a,1532,DONE,True,False,dfe9cdfe2,3,0,False,False,False,ANALYSIS_ONLY," high | re-open the universe ladder as a cost question, not a comparability one. entry-rate convergence (5 -> 50 -> 100 "
S6-B1532b,1532,DONE,True,False,dfe9cdfe2,3,0,False,False,False,ANALYSIS_ONLY, high | recompute the slope at run completion - the 28.25 s/day is 2pct-of-run and warmup-inflated. |
S6-B1532c,1532,DONE,True,False,dfe9cdfe2,3,0,False,False,False,ANALYSIS_ONLY," approved - top | profile the engine (62pct serial), fix, and test extensively. blocked: import pandas hangs, so no pyth"
S6-B1533a,1533,DONE,True,False,,0,0,False,False,False,NO_COMMIT, high | make --screen-pool-workers explicit in every launch and in plan ss9 - the sequential default silently cost ~1.5x
S6-B1533b,1533,DONE,True,False,,0,0,False,False,False,NO_COMMIT, med | read the entry-rate convergence point from outputpooltest (50 tickers) - it is the ladder datapoint that decides 
S6-B1534a,1534,DONE,True,False,,0,0,False,False,False,NO_COMMIT," high | add a pre-commit duplicate-l check: grep -oe ""^### l[0-9]+"" learnings.md \| sort \| uniq -d must be empty. would"
S6-B1534b,1534,DONE,True,False,,0,0,False,False,False,NO_COMMIT, high | re-run the 50-ticker pool config to obtain the cube (entry-rate convergence). ~3.4 h sim + ~1 h post-processing;
S6-B1534c,1534,DONE,True,False,,0,0,False,False,False,NO_COMMIT, low | l114/l115/l253/l333 duplicates predate this session. do not renumber - historical references point at them; recor
S6-B1534e,1534,DONE,True,False,,0,0,False,False,False,NO_COMMIT, med | stop bulk stop-process -force on python; target specific pids. repeated force-sweeps are a change to machine stat
S6-B1535a,1535,DONE,True,False,,0,0,False,False,False,NO_COMMIT," high | re-run both s6-b1529a arms after recovery - neither produced a valid measurement, and the 5t variance control is"
S6-B1535b,1535,DONE,True,False,,0,0,False,False,False,NO_COMMIT, high | launch long runs so they survive a parent kill: the shell-function wrapper turned a process kill into exit=127 f
S6-B1536b,1536,DONE,True,False,,0,0,False,False,False,NO_COMMIT, high | owner decision: aws (~128 vcpu) is the only route to 6 h at full scope. requires typed approval and a budget fig
S6-B1537a,1537,DONE,True,False,,0,0,False,False,False,NO_COMMIT," high | get a real aws quote: instance type, spot vs on-demand, $/hr, projected total against the $50 cad cap. no launch"
S6-B1537b,1537,DONE,True,False,,0,0,False,True,False,NO_COMMIT, high | config definition now recorded here; fold into strategyoptimisationplan.md ss6 so it is never re-asked. |
S6-B1539a,1539,DONE,True,False,b1bec4e8f,4,1,False,False,False,CODE_BACKED, high | re-run the profiler detached to completion; it needs ~10+ min and dies on the foreground ceiling. |
S6-B1539b,1539,DONE,True,False,b1bec4e8f,4,1,False,True,False,CODE_BACKED, high | target confirmed: inside screendone. test the batch 371 hypothesis - per-ticker signal computation that should b
S6-B1539c,1539,DONE,True,False,b1bec4e8f,4,1,False,False,False,CODE_BACKED," med | instrument the 25.4pct outside every phasetiming bracket (pool spin-up/teardown, checkpoint writes, logging). |"
S6-B1541a,1541,DONE,True,False,fe052c85a,3,0,False,False,False,ANALYSIS_ONLY," top | resolve the usesmcpanelcache divergence (bool 10.6pct / float 50pct, batch 555). it gates a 27.2pct cost centre. "
S6-B1541b,1541,DONE,True,False,fe052c85a,3,0,False,False,False,ANALYSIS_ONLY," high | smartmoneyscore: 3,124 calls for 672 screeninstrument calls = ~4.6 calls per ticker-day. check for repeated iden"
S6-B1541c,1541,DONE,True,False,fe052c85a,3,0,False,False,False,ANALYSIS_ONLY, med | 25.4pct of wall-clock remains outside every phasetiming bracket (l413). |
S6-B1543a,1543,DONE,True,False,e68f636b8,9,5,False,True,True,CODE_BACKED," high | measure the actual speedup from optimizationmode before costing the sweep - 14.3pct is the profiler's share, not"
S6-B1543b,1543,DONE,True,False,e68f636b8,9,5,False,False,True,CODE_BACKED," high | test whether the 200 cap ever bound in r5. if it did, appended disjoint runs are not equivalent to a 381 run and"
S6-B1544a,1544,DONE,True,False,0e3114a1e,6,3,False,False,False,CODE_BACKED, high | owner decision: should --cube-isolation also bypass tier sizing (low->skip)? today a strategy's cube cells depen
S6-B1544b,1544,DONE,True,False,0e3114a1e,6,3,False,False,False,CODE_BACKED," high | make monitor-arming mechanical: same tool invocation as the launch, not a preceding step (l420). |"
S6-B1545a,1545,DROPPED,True,False,6d5b5f0f4,8,4,False,True,True,CODE_BACKED, reason: reason-not-recorded (pre-b1769) retracted | not needed - gates are absolute (l423). |
S6-B1545b,1545,DONE,True,False,6d5b5f0f4,8,4,False,False,True,CODE_BACKED, med | quantify how many r5 trades were suppressed by low/avoid tiers - it sizes the gap between the old and new baselin
S6-B1547a,1547,DONE,True,False,,0,0,False,False,False,NO_COMMIT," closed | cadence now asserted by #186, not just existence. |"
S6-B1548a,1548,DONE,True,False,,0,0,False,False,False,NO_COMMIT, med | make testb1463 memory-bounded (chunked read or usecols) so the pyramid can run alongside an engine run (l425). |
S6-B1552a,1552,DONE,True,False,,0,0,False,False,False,NO_COMMIT, high | measure peak memory of one config end-to-end before designing any concurrency. a wall-clock that divides by n sa
S6-B1552b,1552,DONE,True,False,,0,0,False,True,False,NO_COMMIT," high | re-cost the sweep from the end-to-end figure (day loop + post-processing), not the day loop alone - post-process"
S6-B1555a,1555,DONE,True,False,,0,0,False,False,False,NO_COMMIT," high | add a stall check to every monitor prompt: if log mtime has not advanced in 15 min while processes live, report "
S6-B1555b,1555,DONE,True,False,,0,0,False,False,False,NO_COMMIT," high | recompute true end-to-end from log timestamps and re-cost the 20-config sweep on that figure, not on process ela"
S6-B1555c,1555,DONE,True,False,,0,0,False,False,False,NO_COMMIT," med | investigate the pool-teardown hang - it produced no exit record, so an unattended sweep would stall indefinitely "
S6-B1559a,1559,DONE,True,False,6df2fb3ba,8,2,False,False,False,CODE_BACKED," high | on concurrency-test completion: report per-config elapsed vs the 2,759 s baseline, confirm no memoryerror, and r"
S6-B1559b,1559,DONE,True,False,6df2fb3ba,8,2,False,False,False,CODE_BACKED," med | attribution run: isolate whether the sharpe 0.473 -> 0.860 gain came from the tier bypass, the universe, or the w"
S6-B1560a,1560,DONE,True,False,91db288c5,4,1,False,False,False,CODE_BACKED," high | push at end of every turn, not just commit. git log origin/main..head must be empty (l434). consider extending t"
S6-B1561a,1561,DONE,True,False,98818059f,6,4,True,False,True,CODE_BACKED, done | fixed getohlcvbulk defect b (date-column normalisation) + stage2nolivefetch guard (default on) + probe=true for 
S6-B1561b,1561,DONE,True,False,98818059f,6,4,False,True,True,CODE_BACKED, done (b1562) | defect a unresolved: dataloadstart=2021-05-05 vs cached start 2021-05-06 — cache still misses on the rea
S6-B1561d,1561,DONE,True,False,98818059f,6,4,False,False,True,CODE_BACKED," done (b1563a) | useprecomputedsignals = true but precomputecacheinfo() → {'direxists': false, 'tickercount': 0}. flag o"
S6-B1562a,1562,DONE,True,False,4a43776b5,7,3,False,False,True,CODE_BACKED, done | a2 shipped (dataloadstart 2021-05-05 -> 2021-05-06) plus end-anchored coverage (dropped the unsatisfiable cached
S6-B1562b,1562,DONE,True,False,4a43776b5,7,3,False,True,True,CODE_BACKED," high | 260 of 2,122 tickers still miss — delisted names (abmd/ads/aeri/accd) whose last bar precedes the window end. th"
S6-B1563a,1563,DONE,True,False,4d2dbf7af,4,2,True,False,True,CODE_BACKED, done | useprecomputedsignals true->false (flag was on with an empty cache; misses swallowed by a bare except). pinned f
S6-B1563b,1563,DONE,True,False,4d2dbf7af,4,2,False,True,True,CODE_BACKED, med | populate the precomputed-signals cache only after a per-key pit-divergence audit (sibling usesmcpanelcache measur
S6-B1564a,1564,DONE,True,False,25a1a8f80,7,4,True,False,True,CODE_BACKED," done | fetchedthrough added to the 3 post-fetch index writes + coverage check + backfill script (modal-end inference, p"
S6-B1564b,1564,DONE,True,False,25a1a8f80,7,4,False,True,True,CODE_BACKED," done | l438 retraction: l435's ""every backtest re-downloaded from yfinance / non-pit data"" is false. fetchfromyfinance "
S6-B1561d2,1561,DONE,True,False,98818059f,6,4,False,False,True,CODE_BACKED," med | verify the 11 s6-b1561c candidates individually: pipeline.py, secedgarextractor.py, shortinterest.py, audittier2p"
S6-B1565a,1565,DONE,True,False,2c5683124,4,2,True,False,True,CODE_BACKED," done | backtest/signals/demandpruning.py: producer->key map built by calling producers (not parsing), recordingsignals "
S6-B1565b,1565,DONE,False,False,2c5683124,4,2,False,False,True,CODE_BACKED," done | both parts shipped: (a) 33 producer guards b1566a, (b) warmup/prune wiring b1567a. |"
S6-B1565c,1565,DONE,True,False,2c5683124,4,2,False,False,True,CODE_BACKED, med | same treatment for computesmcsignals (27.2pct of runtime) — prune to needed primitive families (ob/fvg/boschoch/l
S6-B1565d,1565,DONE,True,False,2c5683124,4,2,False,False,True,CODE_BACKED," done | observed 14.64pct (1920s -> 1639s, 1.171x) with bit-identical cubes (sha 615233dbab2756d0, 1352x37, 0 numeric di"
S6-B1566a,1566,DONE,True,False,abe1cfe25,4,2,True,False,True,CODE_BACKED, done | all 33 producers in computeallsignals now guarded via producerskipped() (was 3). full + legacy short names both 
S6-B1567a,1567,DONE,True,False,c084741ee,5,3,True,False,True,CODE_BACKED, done | warmup->prune state machine wired into screeninstrument (3 sites). off without strategysubsetfile — wrap() retur
S6-B1568b,1568,DONE,True,False,9f07262a7,3,1,False,True,False,CODE_BACKED," med | scope limit: 14.64pct measured on 1 strategy x 5 tickers x 2y, one a/b pair, sequential. confirm it holds at 100-"
S6-B1569a,1569,DONE,True,False,737ea58d0,6,4,False,False,True,CODE_BACKED, done | smc primitive pruning: skipprimitives guards on retracements/fvg/boschoch (92.9pct of smc cost). 279.44 -> 23.79
S6-B1569b,1569,DONE,True,False,737ea58d0,6,4,True,False,True,CODE_BACKED," done | observed 47.94pct (703s -> 366s, 1.921x) with smc pruning wired. all three cubes bit-identical (615233dbab2756d0"
S6-B1570a,1570,DONE,True,False,375271e2a,3,1,False,True,False,CODE_BACKED," done | static-key floor unioned with runtime recording, closing the short-circuit hole (smcotelong lost boschoch to and"
S6-B1570b,1570,DONE,True,False,375271e2a,3,1,False,False,False,CODE_BACKED," high | cross-session elapsed is not comparable on this machine — identical off arm 1920s (b1568, cold) vs 703s (b1569b,"
S6-B1570c,1570,DONE,True,False,375271e2a,3,1,False,True,False,CODE_BACKED," done | runbook §11 comprehensive rewrite, code-verified: 4 new reference sections (engine controls / what gets skipped "
S6-B1571a,1571,DONE,True,False,7b124ca4d,4,1,False,True,False,CODE_BACKED, owner | 20-config sweep readiness. all optimisations shipped + validated. per-config cost at 100-ticker scale is unmeas
S6-B1571b,1571,DONE,True,False,7b124ca4d,4,1,True,False,False,CODE_BACKED, done | 100-ticker search universe rebuilt on owner-chosen criterion (top 100 by adv over the 2021-05-06..2022-05-05 war
S6-B1571c,1571,DONE,True,False,7b124ca4d,4,1,True,True,False,CODE_BACKED," med | disclosed universe biases (documented, not fixed): (1) spy is rank-1 by adv and is an index etf, not a stock; (2)"
S6-B1572a,1572,DONE,True,False,e9c8fb146,8,2,True,True,False,CODE_BACKED, done | catastrophic-class defect found + fixed. r5universe381.txt came from an abandoned alphabetical chunk (outputr5ru
S6-B1572b,1572,DONE,True,False,e9c8fb146,8,2,True,False,False,CODE_BACKED, done | mechanical guard scripts/verifyuniverseartifact.py (alphabetical skew / mega-cap absence / letter coverage / pro
S6-B1572c,1572,DROPPED,True,False,e9c8fb146,8,2,False,True,False,CODE_BACKED, reason: reason-not-recorded (pre-b1769) n/a | phase 1b roster not contaminated — phase1broster.md:5 cites outputr5merge
S6-B1572d,1572,DONE,True,False,e9c8fb146,8,2,False,False,False,CODE_BACKED, high | configs 1+2 terminated mid-run (owner directive) — they were searching the a-c slice. timing data partial: 2 con
S6-B1572e,1572,DONE,True,False,e9c8fb146,8,2,False,False,False,CODE_BACKED," med | runbook l378 rule text must be corrected: ""derive from the baseline artifact"" -> ""derive from the merged baseline"
S6-B1573a,1573,DONE,True,False,05999ecde,5,2,False,True,True,CODE_BACKED, done | miss-capture audit (owner-prompted). 11 l-entries covered big findings; 12 smaller misses were acknowledged in-r
S6-B1573b,1573,DONE,True,False,05999ecde,5,2,True,True,True,CODE_BACKED, done | checklist #194 + scanunrecordedmiss()/checkunrecordedmiss() wired into verifyturncompliance.py:385 (before the m
S6-B1574a,1574,DONE,True,False,1f50cd1b7,4,2,True,True,True,CODE_BACKED," done | the b1573 miss-gate blocked the turn that built it - it checked working-tree modification only, so writing the l"
S6-B1575a,1575,DONE,True,False,4edba6d52,6,3,False,True,False,CODE_BACKED, done | archived 16 superseded output dirs to archive/2026-08-14-strategy-optimisation-session/ (owner-approved: retain 
S6-B1575b,1575,DONE,True,False,4edba6d52,6,3,False,True,False,CODE_BACKED, done | reference check before the move found 3 live scripts hard-coded to the defective a-c chunk - tightenbreakerblock
S6-B1575c,1575,DONE,True,False,4edba6d52,6,3,False,False,False,CODE_BACKED, done | runbook step 1.1 ticker list regenerated from the 544 universe (top-5 now spy tsla aapl amzn nvda) + verificatio
S6-B1576b,1576,DONE,True,False,27c59190d,1,0,False,False,False,ANALYSIS_ONLY," resolved | configs did vary - proven empirically. cfg1 330 entries vs cfg2 420 entries, overlap only 103; cfg2-only 317"
S6-B1577a,1577,DONE,True,False,96d5a6eff,5,3,False,True,True,CODE_BACKED," done | second defect in the miss gate in two turns. scanunrecordedmiss() scanned the whole transcript, so acknowledgeme"
S6-B1578a,1578,DONE,True,False,5e431b2a9,2,0,False,True,False,ANALYSIS_ONLY, done | false stall alarm on b1576. claimed the configs appeared stalled from ~4 sim-days apparent progress; cpu samplin
S6-B1578b,1578,DONE,True,False,5e431b2a9,2,0,False,False,False,ANALYSIS_ONLY," med | real per-day cost at 100 tickers on the corrected universe is ~23.2 s/sim-day => ~3.2 h per config, above the ~2."
S6-B1579a,1579,DONE,True,False,3c4cfb1df,3,1,True,False,False,CODE_BACKED," done | permission-prompt root cause: my own cd prefix. every command was cd ""c:/..."" && ... despite the bash tool expli"
S6-B1580a,1580,DONE,True,False,9d6e189cb,1,0,False,False,False,ANALYSIS_ONLY," done | guardedsignals.contains now guarded - ""prunedkey"" in s raises instead of returning false silently. recorder and "
S6-B1580b,1580,DONE,True,False,9d6e189cb,1,0,True,False,False,UNSUPPORTED, done | warmup counts distinct sim-days via asof (was per-call = 0.25 sim-days at 100 tickers). screeninstrument passes 
S6-B1580c,1580,DONE,True,False,9d6e189cb,1,0,False,False,False,ANALYSIS_ONLY, med | cube cannot be attributed to its config. no swinglength / emaspan / config column exists in tradeexitdetail.csv (
S6-B1580d,1580,DONE,True,False,9d6e189cb,1,0,True,True,False,ANALYSIS_ONLY," note | degrade-safe path verified (executed): if the producer key map cannot be built, finalise() yields 0 skipped keys"
S6-B1580e,1580,DONE,True,False,9d6e189cb,1,0,False,False,False,ANALYSIS_ONLY," high | adversarial review is partial — not a clean bill of health. covered: demandpruning guard/recorder/state machine,"
S6-B1576a,1576,DONE,True,False,27c59190d,1,0,False,True,False,ANALYSIS_ONLY, done | first per-config cost at 100-ticker scale on the corrected universe. cfg1 (sw=20/span=200) elapsed=11891s (3.30 
S6-B1581a,1581,DONE,True,False,b02bc6960,5,3,False,False,True,CODE_BACKED," done | the 1580a fix caused infinite recursion (check used key not in self, dispatching to the new override). caught by"
S6-B1582a,1582,DONE,True,False,a3efe95c4,1,0,False,False,False,ANALYSIS_ONLY," done | 400 combinations graded (200 per config). cfg1: 31 gradable, 0 pass, best sharpe 0.851 (n=83, pf 3.201, breakeve"
S6-B1582b,1582,DONE,True,False,a3efe95c4,1,0,False,False,False,ANALYSIS_ONLY, high | discrepancy - cfg2 grid loses 40pct of its entries. cfg2's cube holds 420 entries but the grid's loosest combina
S6-B1582c,1582,DONE,True,False,a3efe95c4,1,0,False,True,False,ANALYSIS_ONLY, high | outlier - ranking by sharpe picks the worse combination. cfg2's best has the higher sharpe (0.918 vs 0.851) but 
S6-B1582d,1582,DONE,True,False,a3efe95c4,1,0,False,False,False,ANALYSIS_ONLY," note | cilo is the bootstrap lower bound from rostercore's sharpe dict, not the analytic lo(2002) interval. for cfg2 th"
S6-B1582e,1582,DONE,False,False,a3efe95c4,1,0,False,False,False,ANALYSIS_ONLY," revised | scope corrected (owner, twice). the adversarial review is find bugs and logic errors across the config-run an"
S6-B1583a,1583,DONE,True,False,02207d400,4,2,False,True,True,CODE_BACKED, done | third defect in the miss gate. it checked working-tree + git log -1; l452 was committed in b1581 and the b1582 q
S6-B1584a,1584,DONE,True,False,9aa50cc54,1,0,False,True,False,ANALYSIS_ONLY," critical | root cause of cfg2's 40pct loss: the grading harness is not config-aware. diagnosefire(df, when, swinglength"
S6-B1584b,1584,DONE,True,False,9aa50cc54,1,0,False,True,False,ANALYSIS_ONLY, high | two silent-swallow drops in the grader (tightenbreakerblock.py:145-153): if df is none: continue drops a whole t
S6-B1584d,1584,DONE,True,False,9aa50cc54,1,0,False,True,False,ANALYSIS_ONLY, high | miss - margin of error was not applied to the verdict. owner directed earlier that gates be judged against the m
S6-B1585a,1585,DONE,True,False,115123708,4,2,False,False,False,CODE_BACKED, done | grader is now config-aware: --swing-length threads into diagnosefire. proven - cfg2 at sw=20 diagnoses 253/420 (
S6-B1585b,1585,DONE,True,False,115123708,4,2,False,True,False,CODE_BACKED, done | grader now aborts when diagnosis loss exceeds --max-diag-loss (default 2pct) instead of silently grading a biase
S6-B1585c,1585,DONE,True,False,115123708,4,2,True,False,False,CODE_BACKED, done | owner ruling: step-1 minn = 10. implemented as --min-n on the search grader and an optional minn on rostercore.s
S6-B1585d,1585,DONE,True,False,115123708,4,2,False,True,False,CODE_BACKED, high | residual 4pct (17 of 420) still fail re-diagnosis at the correct swing length. probable cause if i < 250: return
S6-B1585e,1585,DONE,True,False,115123708,4,2,False,True,False,CODE_BACKED, high | cfg1 and cfg2 grids must be regenerated with --swing-length and --min-n 10. every number in s6-b1582a is stale: 
S6-B1586a,1586,DONE,True,False,3abc8246d,3,1,False,True,False,CODE_BACKED, done | 4pct residual explained - not a defect. the 17 fires diagnose under closemitigation=false (the branch the engine
S6-B1586b,1586,DONE,True,False,3abc8246d,3,1,True,False,False,CODE_BACKED," done | retraction - both cubes regraded, conclusion reversed. cfg1 (sw=20,minn=10): 97 gradable, 0 pass. cfg2 (sw=10,mi"
S6-B1586c,1586,DONE,True,False,3abc8246d,3,1,True,False,False,CODE_BACKED," med | nholdout returns none in the grid rows, so holdout sample size is not reportable per combination - it is a gated "
