strategy_name,direction,category,status,regime_affinity
head_and_shoulders_bottom_long,long,unknown,ACTIVE,"bull,neutral"
head_and_shoulders_top_short,short,unknown,ACTIVE,all_regimes
htf_aligned_breakout_long,long,unknown,ACTIVE,"bull,neutral"
htf_aligned_breakout_short,short,unknown,ACTIVE,"bear,crisis,neutral"
hull_rsi,dual,unknown,ACTIVE,all_regimes
ichimoku_cloud_breakdown,dual,unknown,ACTIVE,"bear,crisis,neutral"
ichimoku_cloud_breakout,dual,unknown,ACTIVE,all_regimes
ichimoku_tk_cross,dual,unknown,ACTIVE,all_regimes
inside_bar_breakout,dual,unknown,ACTIVE,all_regimes
insider_cluster_concentrated_sell_short,short,unknown,ACTIVE,all_regimes
insider_cluster_long,long,unknown,ACTIVE,"bear,bull,neutral"
insider_cluster_with_director_long,long,unknown,ACTIVE,"bear,bull,neutral"
institutional_breakout_confirmation_long,long,unknown,ACTIVE,all_regimes
institutional_buy_momentum_long,long,unknown,ACTIVE,bull
institutional_cluster_long,long,unknown,ACTIVE,bear
institutional_committed_growth_long,long,unknown,ACTIVE,all_regimes
institutional_high_conviction_long,long,unknown,ACTIVE,all_regimes
institutional_increased_with_directors_long,long,unknown,ACTIVE,all_regimes
institutional_insider_combo_long,long,unknown,ACTIVE,all_regimes
institutional_multi_quarter_persistence_long,long,unknown,ACTIVE,all_regimes
institutional_oversold_long,long,unknown,ACTIVE,all_regimes
institutional_persistence_breakout_long,long,unknown,ACTIVE,all_regimes
institutional_persistence_momentum_long,long,unknown,ACTIVE,all_regimes
institutional_persistence_oversold_long,long,unknown,ACTIVE,all_regimes
institutional_persistence_volume_long,long,unknown,ACTIVE,all_regimes
institutional_persistent_holders_long,long,unknown,ACTIVE,all_regimes
institutional_recent_init_momentum_long,long,unknown,ACTIVE,all_regimes
institutional_recent_init_volume_long,long,unknown,ACTIVE,all_regimes
institutional_strong_conviction_long,long,unknown,ACTIVE,all_regimes
institutional_volume_confirmation_long,long,unknown,ACTIVE,all_regimes
institutional_with_directors_long,long,unknown,ACTIVE,all_regimes
institutional_with_officers_long,long,unknown,ACTIVE,all_regimes
inverted_cup_and_handle_short,short,unknown,ACTIVE,all_regimes
january_effect_small_cap_long,long,unknown,ACTIVE,"bear,bull,neutral"
judas_swing_long,long,unknown,ACTIVE,all_regimes
judas_swing_short,short,unknown,ACTIVE,all_regimes
keltner_lower,dual,unknown,ACTIVE,all_regimes
m_and_a_target_long,long,unknown,ACTIVE,all_regimes
macd_bullish_with_smart_money_long,long,unknown,ACTIVE,all_regimes
macd_crossover,dual,unknown,ACTIVE,all_regimes
macd_crossover_short,short,unknown,ACTIVE,"bear,crisis,neutral"
macd_fast_crossover,dual,unknown,ACTIVE,bull
macd_ichimoku,dual,unknown,ACTIVE,all_regimes
mfi_oversold,dual,unknown,ACTIVE,all_regimes
mfi_oversold_with_smart_money_long,long,unknown,ACTIVE,all_regimes
mmbm_long,long,unknown,ACTIVE,all_regimes
mmsm_short,short,unknown,ACTIVE,all_regimes
monthly_bias_momentum_long,long,unknown,ACTIVE,"bull,neutral"
morning_star,dual,unknown,ACTIVE,all_regimes
naked_poc_retest_long,long,unknown,ACTIVE,"bull,neutral"
news_momentum_long,long,unknown,ACTIVE,all_regimes
news_momentum_short,short,unknown,ACTIVE,all_regimes
news_reversal_long,long,unknown,ACTIVE,all_regimes
news_reversal_short,short,unknown,ACTIVE,all_regimes
news_sentiment_long,long,unknown,ACTIVE,"bull,neutral"
news_sentiment_shift_long,long,unknown,ACTIVE,"bull,neutral"
orb_stocks_in_play_long,long,unknown,ACTIVE,"bull,neutral"
orb_stocks_in_play_short,short,unknown,ACTIVE,"bear,crisis,neutral"
pairs_mean_reversion_long,long,unknown,ACTIVE,bear
pairs_mean_reversion_short,short,unknown,ACTIVE,"bull,neutral"
parabolic_sar_flip,dual,unknown,ACTIVE,bear
parabolic_sar_flip_short,short,unknown,ACTIVE,"bear,crisis,neutral"
pead_long,long,unknown,ACTIVE,"bear,bull"
pead_long_high_yoy_growth_only,dual,unknown,ACTIVE,all_regimes
pead_short,short,unknown,ACTIVE,"bear,bull,crisis,neutral"
pead_short_negative_yoy_growth,dual,unknown,ACTIVE,all_regimes
pead_with_insider_confirmation_long,long,unknown,ACTIVE,"bear,bull,neutral"
pead_with_smart_money_long,long,unknown,ACTIVE,all_regimes
pivot_fib_confluence,dual,unknown,ACTIVE,all_regimes
pivot_r1_breakout,dual,unknown,ACTIVE,all_regimes
pivot_r2_continuation,dual,unknown,ACTIVE,all_regimes
pivot_r3_blowoff_short,short,unknown,ACTIVE,all_regimes
pivot_s1_bounce,dual,unknown,ACTIVE,all_regimes
pivot_s2_bounce,dual,unknown,ACTIVE,all_regimes
pivot_s3_capitulation,dual,unknown,ACTIVE,"bear,crisis,neutral"
po3_bearish,dual,unknown,ACTIVE,"bear,crisis,neutral"
po3_bullish,dual,unknown,ACTIVE,bull
poc_magnet_long,long,unknown,ACTIVE,"bull,neutral"
post_deletion_drift_short,short,unknown,ACTIVE,"bear,crisis,neutral"
post_inclusion_drift_long,long,unknown,ACTIVE,"bear,bull,crisis,neutral"
post_inclusion_reversal_short,short,unknown,ACTIVE,"bear,bull,crisis,neutral"
ppo_crossover,dual,unknown,ACTIVE,bear
pre_fomc_long_sleeve,dual,unknown,ACTIVE,"bear,neutral"
pre_fomc_quality_momentum_long,long,unknown,ACTIVE,"bull,neutral"
pre_holiday_long,long,unknown,ACTIVE,"bear,bull,neutral"
pre_rebalance_long,long,unknown,ACTIVE,"bear,bull,crisis,neutral"
prev_day_high_break,dual,unknown,ACTIVE,bear
prev_day_low_bounce,dual,unknown,ACTIVE,"bear,neutral"
prev_day_low_breakdown,dual,unknown,ACTIVE,"bear,crisis,neutral"
r1_break_retest,dual,unknown,ACTIVE,all_regimes
risk_off_bond_equity_short,short,unknown,ACTIVE,"bear,crisis"
roc_burst,dual,unknown,ACTIVE,all_regimes
rsi21_slow,dual,unknown,ACTIVE,all_regimes
rsi9_extreme,dual,unknown,ACTIVE,all_regimes
rsi_overbought_short,short,unknown,ACTIVE,"bear,crisis,neutral"
rsi_oversold,dual,unknown,ACTIVE,all_regimes
rsi_oversold_with_smart_money_long,long,unknown,ACTIVE,all_regimes
rsi_volume_200ema,dual,unknown,ACTIVE,all_regimes
sector_rotation_defensive_long,long,unknown,ACTIVE,"bear,crisis"
shooting_star_short,short,unknown,ACTIVE,"bear,crisis,neutral"
short_borrow_trap_avoid,dual,unknown,ACTIVE,all_regimes
simple_below_ema_50_short,short,unknown,ACTIVE,all_regimes
smc_bos_continuation,dual,unknown,ACTIVE,all_regimes
smc_bos_retest_entry,dual,unknown,ACTIVE,"bear,bull,crisis,neutral"
smc_breaker_block_long,long,unknown,ACTIVE,"bull,neutral"
smc_breaker_block_short,short,unknown,ACTIVE,"bear,crisis,neutral"
smc_choch_reversal,dual,unknown,ACTIVE,all_regimes
smc_discount_long,long,unknown,ACTIVE,"bull,neutral"
smc_equal_highs_sweep_short,short,unknown,ACTIVE,"bear,crisis,neutral"
smc_equal_lows_sweep_long,long,unknown,ACTIVE,"bear,bull,neutral"
smc_fvg_retest_long,long,unknown,ACTIVE,"bull,neutral"
smc_fvg_retest_short,short,unknown,ACTIVE,"bear,crisis,neutral"
smc_inverse_fvg,dual,unknown,ACTIVE,"bear,bull,neutral"
smc_liquidity_sweep_reversal,dual,unknown,ACTIVE,all_regimes
smc_mitigation_block_long,long,unknown,ACTIVE,"bull,neutral"
smc_mitigation_block_short,short,unknown,ACTIVE,"bear,crisis,neutral"
smc_order_block_bounce,dual,unknown,ACTIVE,all_regimes
smc_ote_long,long,unknown,ACTIVE,"bull,neutral"
smc_ote_short,short,unknown,ACTIVE,"bear,crisis,neutral"
smc_premium_short,short,unknown,ACTIVE,"bear,crisis,neutral"
squeeze_breakout,dual,unknown,ACTIVE,all_regimes
squeeze_breakout_with_smart_money_long,long,unknown,ACTIVE,all_regimes
squeeze_setup_long,long,unknown,ACTIVE,all_regimes
stoch_oversold,dual,unknown,ACTIVE,all_regimes
stochrsi_overbought_short,short,unknown,ACTIVE,"bear,crisis,neutral"
stochrsi_oversold,dual,unknown,ACTIVE,all_regimes
supertrend_ichimoku_adx,dual,unknown,ACTIVE,all_regimes
supertrend_macd,dual,unknown,ACTIVE,bull
supertrend_macd_short,short,unknown,ACTIVE,"bear,crisis,neutral"
tema_dema,dual,unknown,ACTIVE,bear
three_black_crows_short,short,unknown,ACTIVE,all_regimes
three_white_soldiers,dual,unknown,ACTIVE,"bear,bull"
totm_long,long,unknown,ACTIVE,"bear,bull,neutral"
triangle_ascending_long,long,unknown,ACTIVE,"bull,neutral"
triangle_ascending_retest_long,long,unknown,ACTIVE,all_regimes
triangle_descending_short,short,unknown,ACTIVE,all_regimes
turtle_soup_long,long,unknown,ACTIVE,all_regimes
turtle_soup_short,short,unknown,ACTIVE,all_regimes
ultimate_oscillator,dual,unknown,ACTIVE,bull
value_area_breakout_long,long,unknown,ACTIVE,"bull,neutral"
vix_backwardation_long,long,unknown,ACTIVE,"bear,crisis"
vol_spike_2x_below_ema_50_short,short,unknown,ACTIVE,all_regimes
volume_spike_breakout,dual,unknown,ACTIVE,all_regimes
week_opening_gap_fill_down,dual,unknown,ACTIVE,all_regimes
week_opening_gap_fill_up,dual,unknown,ACTIVE,all_regimes
weekly_bias_pullback_long,long,unknown,ACTIVE,"bull,neutral"
weekly_bias_pullback_short,short,unknown,ACTIVE,"bear,crisis,neutral"
williams_r_oversold,dual,unknown,ACTIVE,all_regimes
williams_stoch_dual,dual,unknown,ACTIVE,bear
xs_combined_momentum_low_ivol,dual,unknown,ACTIVE,"bear,bull,neutral"
xs_low_beta_long,long,unknown,ACTIVE,"bear,bull"
xs_low_beta_with_smart_money_long,long,unknown,ACTIVE,all_regimes
xs_momentum_bottom_decile_short,short,unknown,ACTIVE,"bear,crisis"
xs_momentum_quality_combined,dual,unknown,ACTIVE,"bull,neutral"
xs_momentum_top_decile,dual,unknown,ACTIVE,bull
xs_momentum_with_smart_money_long,long,unknown,ACTIVE,all_regimes
xs_quality_top_quintile_long,long,unknown,ACTIVE,bear
