date,ticker,level,reason,exit_price,event,z_score,today_dispersion,dd_from_peak,rolling_peak_equity,current_equity,action,new_stop,note
2025-09-09,,,,,dispersion_cb_triggered_dec128,3.032,0.040495,,,,,,
2025-09-18,,,,,dispersion_cb_triggered_dec128,5.3671,0.06508,,,,,,
2025-10-20,,,,,dispersion_cb_triggered_dec128,10.0,0.067295,,,,,,
2025-11-10,,,,,dispersion_cb_triggered_dec128,4.5678,0.083871,,,,,,
2026-01-06,,,,,dispersion_cb_triggered_dec128,5.0089,0.063495,,,,,,
2026-01-26,RVMD,1.0,overnight_gap_down_20.5pct,93.5,,,,,,,,,
2026-02-09,CCXI,1.0,overnight_gap_down_80.4pct,10.2,,,,,,,,,
2026-02-09,,,,,dispersion_cb_triggered_dec128,3.7209,0.057767,,,,,,
2026-02-12,ROL,1.0,overnight_gap_down_15.2pct,55.65,,,,,,,,,
2026-03-17,ALDX,1.0,overnight_gap_down_73.5pct,1.12,,,,,,,,,
2026-04-13,,,,,dispersion_cb_triggered_dec128,3.3856,0.053923,,,,,,
2026-05-05,,,,,dispersion_cb_triggered_dec128,3.8003,0.055778,,,,,,
